record_id,classification,valid_structure,n_points,n_timestamps,invalid_timestamps,invalid_coordinates,negative_dt,zero_dt,positive_dt,same_time_different_position,consecutive_duplicate_position,long_gap_gt_30_source_seconds,edges_total,dt_computable,position_pairs_computable,time_span_raw,dt_min_raw,dt_max_raw,issues
5440,CURRENT_RUN_REAL_DATA,True,102,102,0,0,0,0,101,0,39,0,101,101,101,1186,1.0,27.0,
5441,CURRENT_RUN_REAL_DATA,True,109,109,0,0,0,2,106,1,61,0,108,108,108,1190,0.0,21.0,
5442,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,77,0,97,97,97,1184,9.0,21.0,
5443,CURRENT_RUN_REAL_DATA,True,120,120,0,0,0,1,118,1,0,0,119,119,119,1196,0.0,23.0,
5444,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,0,1,97,97,97,1191,2.0,32.0,
5445,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,2,98,2,11,1,100,100,100,1186,0.0,37.0,
5446,CURRENT_RUN_REAL_DATA,True,108,108,0,0,0,2,105,2,14,0,107,107,107,1190,0.0,27.0,
5447,CURRENT_RUN_REAL_DATA,True,111,111,0,0,0,0,110,0,37,0,110,110,110,1187,1.0,25.0,
5448,CURRENT_RUN_REAL_DATA,True,122,122,0,0,0,2,119,0,21,0,121,121,121,1186,0.0,25.0,
5449,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,1,98,0,96,0,99,99,99,1188,0.0,23.0,
5450,CURRENT_RUN_REAL_DATA,True,111,111,0,0,0,3,107,3,3,2,110,110,110,1189,0.0,42.0,
5451,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,72,0,99,99,99,1190,2.0,20.0,
5452,CURRENT_RUN_REAL_DATA,True,106,106,0,0,0,3,102,2,27,2,105,105,105,1195,0.0,135.0,
5453,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,79,0,99,99,99,1191,2.0,20.0,
